Table 1.1.7. Percent Change From Preceding Period in Prices for Gross Domestic Product
Table 1.1.7. Percent Change From Preceding Period in Prices for Gross Domestic Product
"Last Revised on: April 27, 2023 - Next Release Date May 25, 2023"
Line,,2021,2021,2021,2021,2022,2022,2022,2022,2023
Line,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1
1,"        Gross domestic product",5.2,6.3,6.2,6.8,8.3,9.0,4.4,3.9,4.0
2,Personal consumption expenditures,4.5,6.4,5.6,6.2,7.5,7.3,4.3,3.7,4.2
3,"    Goods",5.8,9.0,7.6,9.3,12.6,10.6,2.7,-0.5,0.7
4,"        Durable goods",1.3,14.7,10.0,8.2,8.3,2.4,3.5,-1.5,-0.9
5,"        Nondurable goods",8.6,5.6,6.1,9.9,15.2,15.7,2.3,0.1,1.7
6,"    Services",3.9,5.1,4.6,4.6,4.9,5.6,5.2,6.0,5.9
7,Gross private domestic investment,3.3,2.8,6.8,8.8,9.9,9.9,7.6,3.3,4.4
8,"    Fixed investment",3.5,4.2,7.3,8.8,10.0,10.3,7.7,4.0,4.9
9,"        Nonresidential",0.7,0.4,4.6,7.7,6.9,8.5,7.6,3.6,7.0
10,"            Structures",1.3,8.1,10.2,22.8,16.7,17.5,20.1,7.7,7.3
11,"            Equipment",3.6,-4.4,4.3,6.5,7.6,9.2,5.9,6.1,7.7
12,"            Intellectual property products",-2.7,1.3,2.3,2.1,1.9,3.9,3.7,-0.6,6.1
13,"        Residential",12.4,15.5,15.0,12.0,18.9,15.2,8.1,5.1,-1.9
14,"    Change in private inventories",---,---,---,---,---,---,---,---,---
15,Net exports of goods and services,---,---,---,---,---,---,---,---,---
16,"    Exports",20.5,18.6,9.3,6.2,17.3,20.0,-9.7,-6.1,-0.2
17,"        Goods",26.1,24.4,11.1,7.0,22.9,26.7,-14.0,-11.0,-3.5
18,"        Services",9.7,7.2,5.7,4.6,5.8,6.0,1.3,5.7,7.6
19,"    Imports",12.9,12.7,6.1,6.3,13.5,13.2,-4.1,-5.5,-1.2
20,"        Goods",14.5,13.5,6.1,6.6,15.5,13.9,-5.8,-7.9,-2.3
21,"        Services",5.0,8.8,6.5,4.8,4.1,10.0,4.7,6.6,4.1
22,Government consumption expenditures and gross investment,6.9,6.8,6.0,7.2,8.7,11.6,3.6,3.6,1.6
23,"    Federal",4.1,4.1,4.4,4.3,5.7,6.0,4.8,3.2,3.2
24,"        National defense",5.2,4.3,4.4,4.5,6.6,7.5,2.7,3.0,2.4
25,"        Nondefense",2.6,3.8,4.4,4.2,4.5,4.1,7.6,3.4,4.3
26,"    State and local",8.8,8.5,7.0,9.0,10.6,15.0,2.9,3.9,0.6
,Addenda:,,,,,,,,,
27,"    Gross national product",5.2,6.2,6.2,6.8,8.3,9.0,4.4,3.9,---
,"    Implicit price deflators:",,,,,,,,,
28,"        Gross domestic product1",5.1,6.4,6.2,6.8,8.4,9.1,4.4,3.9,4.0
29,"        Gross national product1",5.1,6.3,6.2,6.8,8.3,9.1,4.4,3.9,---

Legend/Footnotes
1. The percent change for this series is calculated from the implicit price deflator in NIPA table 1.1.9.
